show_id,type,title,director,cast,country,date_added,release year,rating,duration,listed_in,description
s0788,Movie,Sample Title 788,Director G,"Actor L, Actor Q, Actor e, Actor G",United Kingdom,"September 18, 2021",1995.0,R,102 min,"Fantasy, Animation, Thriller",Sample Title 788 is a surprising exploration about betrayal.
s0789,Movie,Sample Title 789,Director G,"Actor |, Actor t",Brazil,"April 15, 2013",1938.0,TV-PG,,,Sample Title 789 is a gripping story about betrayal.
s0790,,Sample Title 790,Director V,"Actor U, Actor T, Actor a, Actor q, Actor H",Canada,"July 25, 2022",1970.0,R,159 min,"Animation, Family",Sample Title 790 is a funny journey about family.
s0791,Movie,Sample Title 791,Director ],"Actor K, Actor i, Actor v",Australia,"March 16, 2013",1975.0,,122 min,"Thriller, Crime, Comedy",Sample Title 791 is a dramatic exploration about adventure.
s0792,Movie,Sample Title 792,,"Actor w, Actor ^, Actor r, Actor k",France,,1947.0,PG-13,,"Action, Drama",Sample Title 792 is a heartfelt exploration about love.
s0793,Movie,Sample Title 793,,"Actor V, Actor G, Actor {, Actor X",Australia,"April 11, 2021",1921.0,PG,64 min,,Sample Title 793 is a thrilling story about adventure.
s0794,TV Show,Sample Title 794,Director B,"Actor x, Actor n",Japan,"August 18, 2023",2000.0,NR,,Family,Sample Title 794 is a moving story about friendship.
,Movie,Sample Title 795,,"Actor n, Actor p, Actor L",United Kingdom,"November 10, 2011",1973.0,TV-14,67 min,"Crime, Drama",Sample Title 795 is a funny story about family.
s0796,,Sample Title 796,Director G,"Actor V, Actor v",France,"October 18, 2013",1995.0,G,126 min,Crime,Sample Title 796 is a thrilling exploration about family.
s0797,TV Show,Sample Title 797,Director G,"Actor o, Actor R, Actor F",United Kingdom,"December 12, 2019",1925.0,PG,4 Seasons,"Sci-Fi, Documentary, Action",Sample Title 797 is a moving story about love.
s0798,Movie,Sample Title 798,Director K,,,"December 24, 2011",1934.0,TV-14,83 min,"Comedy, Action, Horror",Sample Title 798 is a dramatic story about family.
s0799,Movie,Sample Title 799,,"Actor ^, Actor F, Actor y, Actor o",Canada,"November 26, 2016",2007.0,PG-13,,"Action, Thriller, Drama",Sample Title 799 is a thrilling journey about betrayal.
s0800,Movie,Sample Title 800,,"Actor v, Actor M, Actor R",Canada,"December 21, 2013",1957.0,PG,149 min,"Thriller, Comedy",Sample Title 800 is a thrilling journey about mystery.
s0801,Movie,Sample Title 801,Director Q,"Actor v, Actor i, Actor l, Actor K, Actor C",Brazil,"August 26, 2018",1939.0,PG-13,149 min,"Horror, Crime",Sample Title 801 is a surprising journey about betrayal.
s0802,Movie,Sample Title 802,Director R,"Actor F, Actor a, Actor r, Actor N",Australia,"November 23, 2014",1979.0,PG,64 min,Sci-Fi,Sample Title 802 is a moving tale about courage.
s0803,,Sample Title 803,Director L,"Actor k, Actor f, Actor z, Actor C, Actor U",India,"January 18, 2018",,TV-PG,,"Horror, Animation",Sample Title 803 is a moving story about betrayal.
s0804,TV Show,Sample Title 804,Director O,"Actor q, Actor B, Actor ]",Brazil,"March 28, 2020",1995.0,R,7 Seasons,"Romance, Thriller",Sample Title 804 is a moving journey about mystery.
s0805,Movie,,Director J,"Actor |, Actor y",Canada,"May 16, 2021",1933.0,R,114 min,"Fantasy, Documentary",Sample Title 805 is a dramatic story about betrayal.
s0806,Movie,Sample Title 806,Director ],"Actor e, Actor q, Actor I",United Kingdom,"June 22, 2017",2020.0,TV-MA,71 min,"Action, Horror",Sample Title 806 is a thrilling exploration about betrayal.
s0807,Movie,Sample Title 807,Director G,"Actor T, Actor F, Actor L",Canada,,1975.0,TV-14,152 min,Action,Sample Title 807 is a moving journey about friendship.
s0808,,Sample Title 808,Director P,"Actor m, Actor N, Actor {, Actor _, Actor k",Germany,"May 24, 2020",2010.0,PG-13,157 min,Documentary,Sample Title 808 is a heartfelt journey about family.
s0809,TV Show,Sample Title 809,Director K,"Actor u, Actor l, Actor o, Actor x",Germany,"May 23, 2023",1970.0,TV-14,6 Seasons,"Crime, Fantasy",Sample Title 809 is a gripping tale about mystery.
s0810,Movie,Sample Title 810,Director L,"Actor a, Actor u, Actor A, Actor h",Brazil,"December 06, 2018",1929.0,PG-13,77 min,"Romance, Drama",Sample Title 810 is a heartfelt journey about courage.
s0811,Movie,Sample Title 811,Director F,"Actor J, Actor S, Actor T, Actor Y, Actor l",Japan,"October 13, 2010",,R,82 min,Documentary,Sample Title 811 is a moving story about courage.
s0812,,,Director X,"Actor j, Actor x",Germany,,1940.0,G,3 Seasons,"Sci-Fi, Documentary, Family",Sample Title 812 is a gripping exploration about adventure.
s0813,TV Show,Sample Title 813,Director Y,"Actor T, Actor \",Australia,"August 07, 2012",1997.0,NR,,"Animation, Horror",Sample Title 813 is a surprising journey about friendship.
s0814,TV Show,Sample Title 814,Director R,"Actor x, Actor l, Actor F, Actor J, Actor A",France,"March 28, 2023",1953.0,PG-13,8 Seasons,,Sample Title 814 is a funny story about friendship.
s0815,TV Show,Sample Title 815,Director B,"Actor Q, Actor \, Actor V, Actor l",Australia,"July 12, 2010",1989.0,PG,3 Seasons,"Horror, Documentary",Sample Title 815 is a gripping exploration about love.
s0816,Movie,Sample Title 816,,"Actor W, Actor o",United States,"December 01, 2021",2014.0,R,91 min,Comedy,
s0817,TV Show,,Director N,"Actor W, Actor ^, Actor m, Actor h",Canada,"September 28, 2021",1992.0,NR,1 Seasons,Horror,Sample Title 817 is a funny story about betrayal.
s0818,TV Show,Sample Title 818,Director Z,"Actor Y, Actor a",India,"July 30, 2017",2001.0,PG,7 Seasons,"Drama, Action",Sample Title 818 is a moving journey about adventure.
,TV Show,Sample Title 819,Director [,"Actor H, Actor s, Actor M, Actor e, Actor Q",Australia,"October 22, 2023",1985.0,PG-13,1 Seasons,"Fantasy, Family",Sample Title 819 is a heartfelt exploration about love.
s0820,TV Show,,Director I,"Actor g, Actor Z",United Kingdom,,1954.0,,7 Seasons,Drama,Sample Title 820 is a surprising exploration about adventure.
s0821,Movie,Sample Title 821,Director T,"Actor G, Actor O, Actor B, Actor n",France,"December 16, 2014",1928.0,PG,153 min,"Fantasy, Family, Animation",Sample Title 821 is a thrilling journey about mystery.
,Movie,Sample Title 822,Director A,,Japan,"May 28, 2013",1979.0,NR,86 min,"Animation, Action, Documentary",Sample Title 822 is a funny exploration about friendship.
s0823,TV Show,Sample Title 823,Director C,"Actor d, Actor W, Actor F, Actor N, Actor p",South Korea,"April 13, 2018",1958.0,PG,6 Seasons,"Crime, Family",Sample Title 823 is a gripping tale about mystery.
s0824,Movie,Sample Title 824,Director S,"Actor [, Actor q, Actor B, Actor S, Actor d",Japan,"April 07, 2015",,,,"Comedy, Animation, Documentary",Sample Title 824 is a heartfelt tale about friendship.
s0825,Movie,Sample Title 825,Director F,"Actor d, Actor [, Actor W, Actor q, Actor N",Germany,"June 11, 2023",,G,158 min,"Crime, Comedy",Sample Title 825 is a moving journey about mystery.
s0826,Movie,Sample Title 826,Director \,,Japan,"July 09, 2013",1942.0,R,96 min,Sci-Fi,Sample Title 826 is a surprising journey about family.
s0827,Movie,Sample Title 827,Director ^,"Actor Y, Actor f",Germany,"May 20, 2019",1972.0,PG-13,141 min,Fantasy,
s0828,,Sample Title 828,Director T,"Actor B, Actor U, Actor h, Actor P, Actor K",Brazil,"August 01, 2020",2007.0,TV-14,6 Seasons,Animation,
s0829,Movie,Sample Title 829,Director ^,"Actor ^, Actor X, Actor o",Canada,"December 06, 2013",1980.0,PG-13,101 min,Thriller,Sample Title 829 is a gripping story about betrayal.
s0830,Movie,Sample Title 830,Director V,,India,"July 20, 2023",1962.0,TV-PG,91 min,"Animation, Comedy",Sample Title 830 is a gripping story about adventure.
s0831,TV Show,Sample Title 831,Director P,"Actor E, Actor s, Actor [, Actor Q, Actor y",South Korea,,2011.0,,8 Seasons,"Animation, Drama",Sample Title 831 is a funny exploration about family.
s0832,TV Show,Sample Title 832,Director L,,,"August 12, 2019",2020.0,TV-14,2 Seasons,Thriller,Sample Title 832 is a surprising story about adventure.
s0833,Movie,Sample Title 833,Director K,"Actor {, Actor P, Actor s",Japan,"September 18, 2014",1953.0,TV-14,102 min,"Animation, Comedy, Family",Sample Title 833 is a moving exploration about family.
s0834,Movie,Sample Title 834,Director J,"Actor V, Actor s, Actor ], Actor m, Actor Q",Brazil,,1996.0,TV-MA,157 min,Action,Sample Title 834 is a dramatic journey about friendship.
s0835,,Sample Title 835,Director L,"Actor T, Actor n, Actor K, Actor e",Australia,"August 29, 2020",2011.0,NR,146 min,"Action, Animation",Sample Title 835 is a heartfelt journey about family.
s0836,Movie,Sample Title 836,Director A,"Actor f, Actor T, Actor J",Brazil,"April 09, 2010",1953.0,G,152 min,"Animation, Sci-Fi, Documentary",Sample Title 836 is a thrilling tale about love.
s0837,TV Show,Sample Title 837,Director Q,"Actor b, Actor X, Actor Y, Actor x",Japan,"October 17, 2013",1987.0,NR,3 Seasons,"Documentary, Drama",Sample Title 837 is a moving story about love.
s0838,Movie,Sample Title 838,Director E,"Actor g, Actor r, Actor o, Actor s",India,,1965.0,NR,118 min,"Crime, Drama, Sci-Fi",
s0839,TV Show,Sample Title 839,Director D,"Actor a, Actor E, Actor R, Actor d",South Korea,"January 23, 2022",1930.0,TV-MA,,"Sci-Fi, Romance, Crime",Sample Title 839 is a funny tale about adventure.
s0840,TV Show,Sample Title 840,Director H,"Actor L, Actor C, Actor g, Actor R, Actor d",Australia,"January 19, 2012",2015.0,PG-13,2 Seasons,Sci-Fi,Sample Title 840 is a funny story about betrayal.
,Movie,Sample Title 841,Director S,"Actor ^, Actor G, Actor c, Actor y, Actor s",United States,"February 25, 2017",2021.0,TV-14,85 min,"Comedy, Family",Sample Title 841 is a gripping exploration about betrayal.
s0842,Movie,Sample Title 842,Director T,"Actor T, Actor e, Actor A, Actor f, Actor \",India,,2019.0,PG-13,135 min,"Fantasy, Family, Drama",Sample Title 842 is a funny exploration about mystery.
s0843,Movie,Sample Title 843,,"Actor a, Actor S, Actor j, Actor T, Actor Q",South Korea,"August 02, 2015",,PG,146 min,"Sci-Fi, Thriller, Family",Sample Title 843 is a gripping tale about courage.
s0844,Movie,,Director Q,"Actor `, Actor K, Actor L, Actor E, Actor q",Germany,"October 31, 2016",1932.0,,103 min,"Crime, Sci-Fi, Action",Sample Title 844 is a heartfelt story about family.
s0845,Movie,Sample Title 845,Director J,"Actor r, Actor b, Actor _, Actor G",Australia,"September 03, 2023",1946.0,TV-PG,101 min,Romance,Sample Title 845 is a surprising exploration about family.
s0846,Movie,Sample Title 846,,"Actor U, Actor b, Actor _",Brazil,"May 09, 2019",2019.0,PG,89 min,"Family, Thriller",
,Movie,Sample Title 847,Director X,"Actor ], Actor T, Actor \, Actor e",,"May 11, 2019",1920.0,R,67 min,"Horror, Crime",Sample Title 847 is a surprising tale about courage.
s0848,TV Show,Sample Title 848,,"Actor N, Actor k, Actor n",,"August 11, 2016",1967.0,TV-MA,6 Seasons,"Documentary, Horror",Sample Title 848 is a dramatic tale about family.
s0849,Movie,Sample Title 849,,"Actor G, Actor E, Actor P, Actor K",France,"October 04, 2020",2012.0,NR,65 min,"Documentary, Family, Romance",Sample Title 849 is a funny exploration about friendship.
s0850,,,Director I,,Japan,"January 05, 2013",2015.0,TV-14,101 min,"Documentary, Action, Crime",Sample Title 850 is a dramatic journey about mystery.
,Movie,Sample Title 851,Director H,"Actor e, Actor c, Actor q, Actor k",Australia,,1987.0,PG,148 min,Action,Sample Title 851 is a surprising story about family.
s0852,TV Show,Sample Title 852,Director K,"Actor z, Actor r, Actor ], Actor p",Canada,"February 17, 2014",1961.0,NR,4 Seasons,"Horror, Animation",Sample Title 852 is a heartfelt journey about love.
s0853,TV Show,Sample Title 853,Director E,"Actor j, Actor [",Germany,"November 21, 2018",,NR,1 Seasons,"Drama, Sci-Fi, Horror",Sample Title 853 is a gripping exploration about friendship.
s0854,TV Show,Sample Title 854,,,India,"September 05, 2022",1931.0,TV-14,3 Seasons,,Sample Title 854 is a dramatic tale about family.
s0855,Movie,Sample Title 855,Director [,"Actor ^, Actor ], Actor y, Actor p",United Kingdom,"May 30, 2017",1929.0,TV-PG,142 min,"Horror, Family, Sci-Fi",Sample Title 855 is a surprising exploration about friendship.
s0856,Movie,Sample Title 856,,"Actor B, Actor A, Actor O, Actor U, Actor \",United Kingdom,"October 22, 2015",1948.0,G,,"Crime, Animation",Sample Title 856 is a heartfelt journey about adventure.
,TV Show,Sample Title 857,Director Y,,India,"August 03, 2010",1988.0,TV-MA,,"Horror, Comedy, Animation",Sample Title 857 is a surprising journey about betrayal.
s0858,TV Show,Sample Title 858,Director F,"Actor R, Actor O, Actor |, Actor {, Actor N",France,"August 12, 2010",1937.0,NR,2 Seasons,"Drama, Family",Sample Title 858 is a surprising tale about courage.
s0859,Movie,Sample Title 859,Director G,"Actor r, Actor Y, Actor f",India,"January 31, 2012",1942.0,TV-14,80 min,Comedy,Sample Title 859 is a thrilling journey about adventure.
,TV Show,Sample Title 860,Director G,"Actor t, Actor a",France,"September 20, 2020",1952.0,TV-14,8 Seasons,Drama,Sample Title 860 is a thrilling exploration about courage.
s0861,TV Show,Sample Title 861,Director L,"Actor v, Actor E, Actor \, Actor w",Australia,"February 22, 2015",2009.0,TV-14,7 Seasons,,Sample Title 861 is a moving journey about friendship.
s0862,Movie,Sample Title 862,Director S,"Actor I, Actor b",United Kingdom,,2008.0,NR,157 min,Drama,Sample Title 862 is a dramatic tale about family.
s0863,TV Show,Sample Title 863,Director T,,,"May 25, 2013",2014.0,TV-PG,6 Seasons,Action,Sample Title 863 is a gripping exploration about betrayal.
s0864,Movie,Sample Title 864,Director ^,"Actor h, Actor U, Actor B, Actor s",,"June 09, 2017",1923.0,,,"Action, Documentary, Drama",Sample Title 864 is a dramatic exploration about family.
s0865,Movie,Sample Title 865,Director F,"Actor A, Actor W",Canada,"January 25, 2012",1973.0,TV-14,74 min,"Family, Documentary",Sample Title 865 is a surprising exploration about betrayal.
s0866,,Sample Title 866,Director A,"Actor _, Actor z, Actor Q, Actor I",France,"February 10, 2022",1966.0,TV-14,8 Seasons,"Animation, Fantasy",Sample Title 866 is a heartfelt tale about betrayal.
s0867,Movie,Sample Title 867,Director E,"Actor k, Actor F, Actor p",India,"January 22, 2019",,TV-14,91 min,,Sample Title 867 is a heartfelt journey about love.
s0868,TV Show,Sample Title 868,Director S,"Actor q, Actor z, Actor I, Actor U",Germany,"May 29, 2018",2004.0,TV-PG,1 Seasons,"Documentary, Crime, Drama",
s0869,Movie,Sample Title 869,,"Actor K, Actor Z, Actor U",United States,"October 31, 2022",,NR,,"Romance, Crime",Sample Title 869 is a surprising exploration about courage.
s0870,TV Show,Sample Title 870,Director I,,South Korea,"July 26, 2017",1963.0,TV-PG,5 Seasons,"Family, Sci-Fi",Sample Title 870 is a thrilling story about adventure.
s0871,TV Show,,Director I,"Actor s, Actor X",Germany,"July 28, 2010",1989.0,TV-PG,2 Seasons,Family,Sample Title 871 is a surprising story about friendship.
s0872,Movie,Sample Title 872,Director \,"Actor T, Actor ], Actor \, Actor d",India,"April 27, 2021",1943.0,R,164 min,"Romance, Action, Animation",Sample Title 872 is a surprising story about betrayal.
s0873,TV Show,Sample Title 873,Director T,"Actor e, Actor x, Actor b",South Korea,"January 20, 2011",2022.0,G,4 Seasons,"Sci-Fi, Action, Horror",Sample Title 873 is a heartfelt story about adventure.
s0874,Movie,Sample Title 874,Director T,"Actor v, Actor |, Actor q",United Kingdom,"February 17, 2022",1998.0,R,169 min,Thriller,Sample Title 874 is a gripping exploration about love.
,Movie,Sample Title 875,Director N,"Actor ^, Actor U, Actor I, Actor o, Actor T",United States,"September 06, 2011",1952.0,PG,86 min,"Fantasy, Animation, Comedy",Sample Title 875 is a gripping exploration about betrayal.
s0876,Movie,Sample Title 876,Director Y,,Germany,"October 09, 2018",1995.0,PG-13,91 min,,Sample Title 876 is a funny tale about courage.
s0877,,Sample Title 877,Director V,"Actor N, Actor ], Actor J",,,1921.0,TV-14,126 min,"Sci-Fi, Comedy",Sample Title 877 is a surprising exploration about betrayal.
s0878,TV Show,,Director D,"Actor J, Actor E, Actor y, Actor q, Actor {",France,"February 08, 2016",1925.0,R,5 Seasons,Crime,Sample Title 878 is a thrilling exploration about mystery.
,Movie,Sample Title 879,Director \,"Actor q, Actor S, Actor O, Actor b, Actor G",India,"July 14, 2023",1996.0,G,90 min,"Family, Documentary, Crime",Sample Title 879 is a gripping story about family.
s0880,TV Show,,Director X,"Actor z, Actor Q, Actor i, Actor a",France,"May 31, 2019",2005.0,PG,6 Seasons,Drama,Sample Title 880 is a gripping exploration about betrayal.
s0881,Movie,Sample Title 881,Director N,"Actor G, Actor r, Actor u, Actor n",Japan,"July 30, 2022",1997.0,R,137 min,"Crime, Documentary, Drama",Sample Title 881 is a dramatic story about mystery.
s0882,TV Show,,Director D,"Actor H, Actor q",Canada,"February 02, 2018",1994.0,R,7 Seasons,"Animation, Drama, Horror",Sample Title 882 is a moving exploration about family.
,,Sample Title 883,Director B,,Germany,"July 30, 2010",1947.0,TV-PG,63 min,"Horror, Comedy, Thriller",Sample Title 883 is a thrilling story about adventure.
s0884,Movie,Sample Title 884,,"Actor W, Actor P, Actor R, Actor ]",United States,,1978.0,PG,158 min,Romance,Sample Title 884 is a dramatic journey about adventure.
s0885,Movie,Sample Title 885,Director [,"Actor w, Actor `, Actor F",France,"November 21, 2017",1998.0,PG-13,,"Comedy, Animation",Sample Title 885 is a moving exploration about love.
s0886,TV Show,,Director Y,"Actor M, Actor Q, Actor w, Actor n, Actor `",France,"July 23, 2017",2023.0,NR,6 Seasons,,Sample Title 886 is a funny story about friendship.
s0887,,Sample Title 887,Director Q,"Actor q, Actor d, Actor c, Actor L",Germany,"November 15, 2023",2009.0,TV-14,85 min,Comedy,
s0888,Movie,Sample Title 888,Director R,"Actor Z, Actor I, Actor {, Actor Y",India,"August 04, 2016",1998.0,TV-14,101 min,Family,Sample Title 888 is a surprising story about betrayal.
,Movie,Sample Title 889,,"Actor `, Actor O",Canada,,1948.0,NR,142 min,Action,Sample Title 889 is a gripping journey about betrayal.
s0890,TV Show,,Director P,"Actor [, Actor d, Actor e, Actor M, Actor L",South Korea,"January 11, 2023",1971.0,R,5 Seasons,"Horror, Thriller, Documentary",Sample Title 890 is a funny journey about betrayal.
s0891,Movie,Sample Title 891,Director W,"Actor U, Actor x, Actor u",Canada,"January 27, 2022",1994.0,TV-PG,72 min,"Animation, Family, Sci-Fi",Sample Title 891 is a funny story about family.
s0892,TV Show,Sample Title 892,Director L,"Actor ^, Actor R, Actor e",United States,"April 28, 2020",1999.0,,8 Seasons,"Documentary, Comedy, Action",Sample Title 892 is a gripping exploration about mystery.
s0893,TV Show,Sample Title 893,Director P,"Actor E, Actor l, Actor W",India,"March 11, 2016",,PG,1 Seasons,"Fantasy, Family, Documentary",Sample Title 893 is a moving tale about courage.
s0894,Movie,Sample Title 894,Director R,"Actor V, Actor O, Actor e, Actor t",South Korea,"February 18, 2019",1938.0,G,170 min,Fantasy,Sample Title 894 is a gripping journey about mystery.
s0895,Movie,Sample Title 895,Director T,"Actor b, Actor [",United Kingdom,,1951.0,,166 min,Drama,Sample Title 895 is a moving exploration about adventure.
s0896,Movie,Sample Title 896,Director M,,United Kingdom,"September 13, 2017",1943.0,TV-14,99 min,"Action, Documentary",Sample Title 896 is a funny exploration about friendship.
s0897,Movie,Sample Title 897,Director H,"Actor j, Actor i, Actor F, Actor V",,"February 10, 2012",1987.0,PG,62 min,"Drama, Sci-Fi, Animation",Sample Title 897 is a moving journey about friendship.
s0898,,Sample Title 898,Director Q,"Actor A, Actor U",Germany,,1923.0,G,169 min,Action,
,Movie,Sample Title 899,Director D,"Actor g, Actor X, Actor e",United Kingdom,"November 20, 2019",2010.0,TV-PG,,Family,Sample Title 899 is a gripping story about mystery.
,TV Show,Sample Title 900,Director D,"Actor |, Actor S, Actor G, Actor W",United Kingdom,"March 28, 2023",1986.0,TV-PG,2 Seasons,"Romance, Fantasy",
s0901,TV Show,Sample Title 901,Director M,"Actor H, Actor k, Actor d, Actor E, Actor V",Canada,"March 15, 2018",1938.0,PG-13,8 Seasons,Documentary,Sample Title 901 is a gripping journey about friendship.
,TV Show,Sample Title 902,Director Z,"Actor w, Actor b",India,"March 10, 2017",1987.0,R,4 Seasons,"Horror, Action",
s0903,TV Show,Sample Title 903,Director N,"Actor F, Actor `, Actor B, Actor G, Actor U",South Korea,"November 09, 2020",1998.0,R,,"Thriller, Crime",Sample Title 903 is a moving story about mystery.
s0904,TV Show,Sample Title 904,Director C,"Actor z, Actor f, Actor p, Actor e",South Korea,"November 21, 2013",,G,1 Seasons,"Drama, Animation, Thriller",Sample Title 904 is a thrilling tale about love.
s0905,TV Show,Sample Title 905,Director [,"Actor p, Actor a, Actor b, Actor w, Actor L",South Korea,"April 26, 2018",2007.0,TV-MA,4 Seasons,Family,Sample Title 905 is a heartfelt tale about adventure.
s0906,Movie,Sample Title 906,Director P,"Actor e, Actor i, Actor h",United States,"January 06, 2011",1968.0,,175 min,"Comedy, Thriller, Drama",Sample Title 906 is a heartfelt journey about betrayal.
s0907,TV Show,Sample Title 907,Director L,"Actor C, Actor J, Actor g, Actor P, Actor h",Australia,"June 26, 2019",2007.0,PG,4 Seasons,"Animation, Thriller, Documentary",
s0908,TV Show,Sample Title 908,Director [,"Actor u, Actor r, Actor `",Australia,"June 18, 2023",1921.0,R,1 Seasons,"Family, Action, Romance",Sample Title 908 is a gripping story about friendship.
s0909,Movie,Sample Title 909,,"Actor c, Actor U, Actor K",Australia,"December 07, 2018",1956.0,PG,96 min,"Thriller, Comedy, Crime",Sample Title 909 is a thrilling tale about friendship.
s0910,Movie,Sample Title 910,Director E,"Actor _, Actor G",India,"February 17, 2015",1924.0,R,83 min,Animation,Sample Title 910 is a surprising story about betrayal.
s0911,Movie,Sample Title 911,Director X,"Actor ], Actor g, Actor r",United States,"April 18, 2021",2018.0,PG-13,158 min,Animation,Sample Title 911 is a funny story about mystery.
s0912,Movie,Sample Title 912,,"Actor {, Actor L, Actor W, Actor ^",Canada,"April 08, 2011",1970.0,R,79 min,"Sci-Fi, Comedy",Sample Title 912 is a heartfelt tale about adventure.
s0913,Movie,Sample Title 913,Director O,"Actor x, Actor ]",India,"July 07, 2015",1997.0,PG,131 min,Action,Sample Title 913 is a dramatic journey about friendship.
s0914,Movie,Sample Title 914,Director Q,"Actor h, Actor o",United Kingdom,"March 20, 2017",1967.0,TV-MA,78 min,Crime,Sample Title 914 is a heartfelt story about courage.
s0915,Movie,Sample Title 915,Director M,"Actor w, Actor O",United States,"August 23, 2022",1989.0,TV-14,62 min,"Family, Fantasy, Documentary",Sample Title 915 is a funny exploration about courage.
s0916,TV Show,Sample Title 916,Director P,"Actor W, Actor i, Actor ^, Actor _",United Kingdom,"March 09, 2020",,G,4 Seasons,Thriller,Sample Title 916 is a moving tale about courage.
s0917,TV Show,,Director L,"Actor \, Actor t",Australia,"March 25, 2013",1925.0,,7 Seasons,"Sci-Fi, Romance, Documentary",Sample Title 917 is a heartfelt journey about betrayal.
s0918,TV Show,Sample Title 918,Director N,"Actor o, Actor ], Actor Y, Actor ^, Actor X",France,"April 24, 2017",2005.0,R,3 Seasons,"Sci-Fi, Romance, Crime",
s0919,Movie,Sample Title 919,Director V,"Actor z, Actor ^, Actor d, Actor x",Germany,"May 29, 2018",2002.0,PG,87 min,"Action, Family",
s0920,TV Show,Sample Title 920,Director \,"Actor D, Actor M, Actor N, Actor V, Actor d",United Kingdom,,1986.0,,3 Seasons,,Sample Title 920 is a thrilling tale about love.
s0921,TV Show,Sample Title 921,Director Y,"Actor j, Actor Z, Actor e",Canada,"May 19, 2013",1972.0,G,8 Seasons,Animation,Sample Title 921 is a heartfelt exploration about love.
s0922,TV Show,Sample Title 922,Director Q,,India,"December 04, 2011",1922.0,TV-MA,1 Seasons,"Comedy, Horror",Sample Title 922 is a funny tale about adventure.
s0923,Movie,Sample Title 923,Director [,"Actor X, Actor h",France,"February 01, 2023",1977.0,NR,103 min,,Sample Title 923 is a gripping tale about betrayal.
s0924,Movie,Sample Title 924,Director ^,,Australia,"August 06, 2015",,TV-PG,176 min,"Comedy, Drama",Sample Title 924 is a heartfelt exploration about courage.
s0925,Movie,Sample Title 925,Director A,"Actor |, Actor ], Actor f, Actor e",United Kingdom,,1922.0,NR,145 min,"Horror, Animation, Comedy",Sample Title 925 is a funny story about betrayal.
,,,Director M,"Actor H, Actor |, Actor s",Canada,"March 12, 2017",,TV-14,105 min,"Family, Drama, Fantasy",
s0927,,Sample Title 927,Director Q,"Actor b, Actor z, Actor {, Actor B",Japan,"February 22, 2017",1941.0,TV-MA,143 min,Animation,Sample Title 927 is a funny journey about courage.
s0928,TV Show,Sample Title 928,Director I,"Actor k, Actor F, Actor V, Actor d, Actor C",United Kingdom,"March 29, 2010",2014.0,TV-MA,5 Seasons,"Romance, Family",Sample Title 928 is a thrilling exploration about friendship.
s0929,,Sample Title 929,Director M,"Actor X, Actor t, Actor a, Actor w",Germany,"February 18, 2019",2010.0,,3 Seasons,"Animation, Thriller",Sample Title 929 is a dramatic tale about courage.
s0930,Movie,Sample Title 930,Director O,"Actor t, Actor k",,"May 31, 2021",1934.0,TV-MA,163 min,Comedy,Sample Title 930 is a heartfelt story about betrayal.
s0931,Movie,,Director Z,"Actor r, Actor F, Actor x",India,"March 21, 2010",2012.0,TV-MA,154 min,"Fantasy, Comedy",Sample Title 931 is a heartfelt exploration about adventure.
s0932,,Sample Title 932,Director D,"Actor D, Actor n",United Kingdom,"June 23, 2014",2015.0,TV-14,3 Seasons,,Sample Title 932 is a gripping story about courage.
s0933,TV Show,Sample Title 933,Director B,"Actor Y, Actor U",South Korea,"April 28, 2014",1980.0,PG-13,,"Animation, Action, Family",Sample Title 933 is a funny story about courage.
s0934,Movie,Sample Title 934,,"Actor M, Actor Q, Actor J",South Korea,"November 27, 2022",1944.0,TV-14,149 min,Romance,Sample Title 934 is a heartfelt journey about family.
s0935,TV Show,Sample Title 935,Director U,"Actor g, Actor [, Actor a, Actor i",,"November 23, 2014",1974.0,PG,6 Seasons,"Romance, Sci-Fi, Drama",Sample Title 935 is a moving journey about love.
s0936,TV Show,Sample Title 936,,"Actor W, Actor z, Actor o, Actor D, Actor h",Germany,"October 17, 2011",2006.0,,1 Seasons,"Crime, Comedy, Horror",Sample Title 936 is a dramatic journey about adventure.
,TV Show,Sample Title 937,Director C,,France,"October 10, 2020",,NR,5 Seasons,"Horror, Sci-Fi",Sample Title 937 is a moving tale about betrayal.
s0938,Movie,Sample Title 938,,"Actor [, Actor ^, Actor y, Actor U",Germany,,1979.0,NR,79 min,,Sample Title 938 is a surprising exploration about courage.
s0939,TV Show,Sample Title 939,Director Z,"Actor Y, Actor x, Actor i, Actor J",Germany,"March 15, 2018",1921.0,R,3 Seasons,Fantasy,Sample Title 939 is a heartfelt tale about friendship.
s0940,Movie,Sample Title 940,Director I,"Actor M, Actor B, Actor `, Actor Z",United Kingdom,"October 22, 2016",1990.0,PG,89 min,Family,Sample Title 940 is a dramatic exploration about courage.
s0941,Movie,Sample Title 941,Director P,,India,"April 02, 2017",2010.0,NR,,"Action, Romance",Sample Title 941 is a dramatic exploration about family.
s0942,Movie,Sample Title 942,Director J,"Actor V, Actor i, Actor T",Brazil,"August 16, 2019",1998.0,TV-14,136 min,Sci-Fi,Sample Title 942 is a funny journey about adventure.
s0943,Movie,,Director E,"Actor e, Actor _, Actor E, Actor B",Japan,"April 20, 2018",1973.0,,,,Sample Title 943 is a surprising journey about adventure.
